descriptor,pearson_r,loocv_rmse,loocv_mae,loocv_r2
lattice_length_cv,0.7616690193885645,1.6266642661674395,1.379155240347695,0.4842730513007658
optical_lowest3_mean_abs_freq_thz,-0.762568842878374,1.6489578769015953,1.1810639174827777,0.47003999442771327
optical_low_mode_count_lt_2thz,0.7693608411127452,1.7126646352823913,1.386337261505099,0.4282994198068293
optical_softness_inv_freq2,0.7488113803588059,1.7387294606001569,1.309955344649398,0.4107657290211354
relax_o_mean_disp,-0.705277357913597,1.8112445965314778,1.4110946347380064,0.3605918339247066
optical_softest_abs_freq_thz,-0.6824506536136926,1.9266711118755593,1.376116796363307,0.2764989859159669
optical_softest_signed_freq_thz,-0.6824506536136926,1.9266711118755593,1.376116796363307,0.2764989859159669
volume_per_atom,-0.6417327734028155,1.95182630428537,1.5960694419271793,0.257483163070626
relax_volume_strain,-0.6417327734028032,1.9518263042854007,1.596069441927214,0.2574831630706026
ce_ce_min,-0.614237785253951,1.9923775556685452,1.706935820961085,0.22630951793479814
c_over_mean_ab,0.5826120532112355,2.0175219953464105,1.680516453393134,0.20665784947881582
ce_o_distance_variation,0.4014214813620582,2.3948685916410564,2.026000646421515,-0.1178598280168508
ce_o_max_distance,0.37453242801966746,2.409040787250575,2.1226348911409665,-0.13112936951647458
ce_zr_min,0.2096228675799587,2.5212053408878283,2.1685530619116946,-0.238911857873628
symmetry_score,-0.2636683719348926,2.525932465922296,2.1491057097009727,-0.24356199998428374
max_neighbor_distance_variation,-0.18402781683135003,2.5854066867662304,2.2348449531955987,-0.3028118741851593
ce_o_min,0.1256399930323002,2.6039591692555724,2.2467599213520004,-0.3215765166158666
mean_neighbor_distance_variation,0.3634925934610472,2.6074157017711452,2.2531519195770047,-0.32508740428073124
o_neighbors,-0.10795984317915618,2.637089413156423,2.166445038719066,-0.35541935588508133
relax_mean_disp,-0.5321708151932539,3.031085085272552,2.2526708961156636,-0.79068925612571
o_mean_dist,0.28628850108715737,3.1226925992049583,2.4756240989708287,-0.9005637462313554
angle_std_deg,-0.0645766327350002,3.220138944981288,2.4893475876161033,-1.0210320257353231
o_dist_std,0.32753345305549464,3.4882640173517014,2.5847741466149423,-1.3716067019225218
angle_descriptor,0.19413974195864345,4.814225683101898,2.9638164796781923,-3.517278469444488
relax_rms_disp,-0.4299891899023784,7.143275451305072,3.5194816207180764,-8.945320131419265
relax_max_disp,-0.35957845661305865,14.887974460196702,5.555352480763596,-42.20113957903669
